,user_id,country,sex,height,weight,age,years_cl,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last
5715,28349,DEU,0,168,68,37.0,21,2009-08-14 22:00:00,2016-01-25 23:00:00,266,59,66,70,61.83458646616541,2009,2016
5716,28355,NLD,0,175,68,40.0,11,2008-07-20 22:00:00,2011-06-03 22:00:00,52,36,38,48,38.59615384615385,2008,2011
5717,28356,POL,0,185,63,29.0,15,2009-08-19 22:00:00,2016-07-03 22:00:00,65,55,62,66,53.8,2009,2016
5718,28357,SWE,0,192,78,38.0,12,2009-08-26 22:00:00,2013-08-19 22:00:00,33,43,36,46,37.45454545454545,2009,2013
5719,28360,ESP,0,177,68,37.0,11,2014-08-07 22:00:00,2017-08-18 22:00:00,74,36,42,46,38.66216216216216,2014,2017
5720,28362,CZE,0,155,53,24.0,11,2006-06-17 22:00:00,2006-06-17 22:00:00,1,38,38,38,38.0,2006,2006
5721,28366,BEL,0,167,48,38.0,22,2009-08-19 22:00:00,2010-09-16 22:00:00,89,53,40,53,39.96629213483146,2009,2010
5722,28368,USA,0,167,63,35.0,26,2009-09-03 22:00:00,2009-09-03 22:00:00,1,46,46,46,46.0,2009,2009
5723,28373,NOR,0,185,83,36.0,13,2009-06-02 22:00:00,2017-08-22 22:00:00,225,41,57,62,44.83555555555556,2009,2017
5724,28374,SVN,0,175,63,22.0,19,2012-03-30 22:00:00,2016-10-22 22:00:00,29,55,64,68,62.48275862068966,2012,2016
5725,28381,DEU,0,184,68,24.0,9,2009-11-20 23:00:00,2010-08-19 22:00:00,20,48,48,53,44.75,2009,2010
5726,28382,ZAF,0,178,83,34.0,8,2009-09-25 22:00:00,2009-09-26 22:00:00,4,31,38,38,32.25,2009,2009
5727,28396,other,0,172,73,44.0,12,2009-08-08 22:00:00,2011-07-08 22:00:00,42,53,51,53,39.71428571428572,2009,2011
5728,28400,NOR,0,178,93,41.0,8,2009-08-01 22:00:00,2010-05-06 22:00:00,4,32,36,36,31.25,2009,2010
5729,28404,NOR,0,187,73,32.0,10,2009-08-29 22:00:00,2015-10-03 22:00:00,47,55,49,57,48.5531914893617,2009,2015
5730,28408,FRA,1,175,58,23.0,15,2009-05-26 22:00:00,2011-06-11 22:00:00,20,62,49,62,48.1,2009,2011
5731,28414,BRA,0,170,63,36.0,10,2009-03-08 23:00:00,2009-08-26 22:00:00,6,40,39,42,40.66666666666666,2009,2009
5732,28420,BRA,0,172,73,52.0,12,2010-01-25 23:00:00,2017-05-05 22:00:00,162,36,49,53,41.858024691358025,2010,2017
5733,28421,SVN,0,175,63,18.0,10,2009-08-25 22:00:00,2017-09-02 22:00:00,453,46,57,70,50.93377483443709,2009,2017
5734,28422,ESP,1,171,53,33.0,8,2009-09-10 22:00:00,2011-05-30 22:00:00,100,29,44,44,37.15,2009,2011
5735,28429,POL,0,167,53,27.0,9,2009-08-30 22:00:00,2012-06-01 22:00:00,21,40,33,40,33.38095238095238,2009,2012
5736,28430,HRV,0,183,78,30.0,8,2009-09-05 22:00:00,2009-11-17 23:00:00,8,29,33,33,31.0,2009,2009
5737,28449,DNK,0,183,88,28.0,10,2011-11-19 23:00:00,2016-08-24 22:00:00,15,57,51,62,52.66666666666666,2011,2016
5738,28452,USA,0,180,68,33.0,12,2009-06-12 22:00:00,2009-09-01 22:00:00,3,53,51,53,51.66666666666666,2009,2009
5739,28461,DEU,0,185,73,29.0,9,2009-08-30 22:00:00,2015-05-13 22:00:00,145,42,55,55,43.50344827586207,2009,2015
5740,28472,POL,0,183,83,41.0,8,2009-09-01 22:00:00,2010-10-02 22:00:00,3,31,36,36,32.0,2009,2010
5741,28473,USA,0,165,63,30.0,11,2009-10-26 23:00:00,2009-10-26 23:00:00,2,40,51,51,45.5,2009,2009
5742,28474,POL,0,174,68,32.0,13,2009-08-02 22:00:00,2017-08-14 22:00:00,32,49,59,59,47.53125,2009,2017
5743,28480,other,0,178,58,25.0,9,2009-06-04 22:00:00,2009-07-04 22:00:00,5,38,30,39,34.2,2009,2009
