,name_id,name,grade_mean,cluster,coord,lat,lon,pais
54,157,jack sparrow,51.0625,2,"(56.1161043, 10.2233217)",56.1161043,10.2233217,Danmark
55,160,pata de palo,51.8,0,"(37.1764891, -5.7343223)",37.1764891,-5.7343223,España
56,161,paty,53.0,0,"(47.5154504, 18.8271695)",47.5154504,18.8271695,Magyarország
57,162,perla negra,37.0,1,"(20.247971, -97.6469618)",20.247971,-97.6469618,México
58,163,peter pan,50.5,0,"(50.837832, 4.3561345)",50.837832,4.3561345,België / Belgique / Belgien
59,165,travesia,57.5,3,"(13.1885869, 123.6181399)",13.1885869,123.6181399,Philippines
60,167,toma de juan,51.5,3,"(-33.3210395, -66.3481966)",-33.3210395,-66.3481966,Argentina
61,168,peluca,49.0,2,"(40.3235307, -4.8576834)",40.3235307,-4.8576834,España
62,169,perita,44.0,2,"(28.0914478, -17.1098469)",28.0914478,-17.1098469,España
63,170,terreno,36.0,2,"(-12.99920895, -40.53629678063426)",-12.99920895,-40.53629678063426,Brasil
64,171,buenos aires,39.5,2,"(-34.6075682, -58.4370894)",-34.6075682,-58.4370894,Argentina
65,174,santiago,40.333333333333336,3,"(9.8694792, -83.7980749)",9.8694792,-83.7980749,Costa Rica
66,176,aardvark,36.0,6,"(47.3046443, -122.5223161)",47.3046443,-122.5223161,United States
67,177,stentor,29.33333333333333,6,"(47.1494919, -76.40678009912708)",47.1494919,-76.40678009912708,Canada
68,178,tannin,37.6,6,"(49.649275, -91.0051845)",49.649275,-91.0051845,Canada
69,179,wraith,42.66666666666666,6,"(-26.247247, -69.6329396)",-26.247247,-69.6329396,Chile
70,180,no future,42.0,6,"(44.6384362, -63.589057084383185)",44.6384362,-63.58905708438319,Canada
71,181,resignation,30.0,6,"(48.7511471, 9.8841693)",48.7511471,9.8841693,Deutschland
72,182,on main wall,55.0,2,"(55.7659359, -2.0098888)",55.7659359,-2.0098888,United Kingdom
73,184,gatekeeper,49.0,2,"(41.48093075, -82.67917244679663)",41.48093075,-82.67917244679663,United States
74,189,bloodline,66.85714285714286,2,"(50.9788546, 11.0249687)",50.9788546,11.0249687,Deutschland
75,190,booby trap,63.5,2,"(35.7468573, 139.5812693)",35.7468573,139.5812693,日本
76,192,cave route,50.6,2,"(43.5857791, 1.5259492)",43.5857791,1.5259492,France
77,194,changes,40.0,1,"(47.6612762, -122.3334927)",47.6612762,-122.3334927,United States
78,196,dr do little,41.6,2,"(46.8439752, -100.796198)",46.8439752,-100.796198,United States
79,197,electric blue,36.6,2,"(55.6568223, -3.1447328)",55.6568223,-3.1447328,United Kingdom
80,199,go lotto,39.36363636363637,2,"(40.9052144, 14.2384413)",40.9052144,14.2384413,Italia
81,200,goosebumps,50.958333333333336,2,"(37.155777, -113.248097)",37.155777,-113.248097,United States
82,202,happy new year,36.0,1,"(49.4445236, 32.05987313590603)",49.4445236,32.05987313590603,Україна
83,203,hermione,31.8,2,"(37.3855871, 23.2478822)",37.3855871,23.2478822,Ελλάς
84,205,hunky dory,46.0,2,"(49.5915018, -125.0629225)",49.5915018,-125.0629225,Canada
85,208,jean genie,50.66666666666666,2,"(50.1992135, 3.8414501)",50.1992135,3.8414501,France
86,210,karinya,31.0,2,"(-37.8849623, 144.72111127459544)",-37.8849623,144.72111127459544,Australia
87,213,lady stardust,45.23809523809524,2,"(44.3345017, 7.4586495)",44.3345017,7.4586495,Italia
88,215,major tom,49.578947368421055,2,"(47.2085897, -122.4013771)",47.2085897,-122.4013771,United States
89,220,scheme of things,48.94736842105263,2,"(6.7895346, -58.1503039)",6.7895346,-58.1503039,Guyana
90,221,sound and vision,41.375,2,"(51.527606, 9.8889546)",51.527606,9.8889546,Deutschland
91,222,starman,41.8421052631579,2,"(48.1411505, -3.6030539)",48.1411505,-3.6030539,France
92,226,who killed bambi,46.0,2,"(52.5225197, 13.4034856)",52.5225197,13.4034856,Deutschland
93,233,daffy,46.2,2,"(56.968985, 10.101438)",56.968985,10.101438,Danmark
94,237,duck walk,55.0,2,"(53.2623603, -1.0643308259542006)",53.2623603,-1.0643308259542006,United Kingdom
95,238,duckling,39.75,0,"(28.4108062, -16.5368462)",28.4108062,-16.5368462,España
96,239,event horizon,57.0,2,"(44.4762066, -73.2099057)",44.4762066,-73.2099057,United States
97,243,gosling,36.0,1,"(54.237249, -0.3671810947699196)",54.237249,-0.3671810947699196,United Kingdom
98,245,jingle bells,41.66666666666666,1,"(52.932099, -6.8721987)",52.932099,-6.8721987,Éire / Ireland
99,246,megan,38.0,2,"(-30.2827977, 152.7732007)",-30.2827977,152.7732007,Australia
100,247,mr redeemer,56.75,0,"(29.5741478, -98.3827826)",29.5741478,-98.3827826,United States
101,248,paddle steamer,53.0,2,"(51.4923142, 0.07871820150794415)",51.4923142,0.0787182015079441,United Kingdom
102,253,seamstress,46.0,2,"(26.5901196, 104.8435298)",26.5901196,104.8435298,中国
103,261,troc de ille,50.5,2,"(48.1295383, -1.6408614260801755)",48.1295383,-1.6408614260801755,France
104,262,wet paint,51.0,2,"(44.9399348, -93.1717385)",44.9399348,-93.1717385,United States
105,264,ancient mariner,37.04761904761905,1,"(41.2822707, -73.5001885)",41.2822707,-73.5001885,United States
106,265,aneurysm,56.5,1,"(-37.9424539, 145.2805372)",-37.9424539,145.2805372,Australia
107,266,big wednesday,65.41666666666667,2,"(-35.3272542, 149.3562451)",-35.3272542,149.3562451,Australia
108,268,camel toe,61.75,0,"(12.9120666, 100.8830656)",12.9120666,100.8830656,ประเทศไทย
109,271,diana ross,42.2,2,"(-33.3864625, -70.660039)",-33.3864625,-70.660039,Chile
110,273,euchre,48.92592592592592,2,"(42.1059812, -82.4227034)",42.1059812,-82.4227034,Canada
111,275,green eggs and ham,59.0,2,"(42.163686, -72.669161)",42.163686,-72.669161,United States
112,276,grey power,54.0,3,"(47.374018, -68.3017594)",47.374018,-68.3017594,Canada
113,277,lyptus,48.92,8,"(42.2159275, -121.8226588)",42.2159275,-121.8226588,United States
114,279,mr curly,32.214285714285715,1,"(33.91973, -98.309804)",33.91973,-98.309804,United States
115,285,sydney rose,50.74193548387097,2,"(-33.8829782, 151.2203879)",-33.8829782,151.2203879,Australia
116,286,tripe,63.92307692307692,2,"(29.6176267, 94.9394336)",29.6176267,94.9394336,中国
117,287,veterans affair,57.4,1,"(35.0695844, -78.8938584)",35.0695844,-78.8938584,United States
118,288,almost almost,54.875,0,"(41.1843841, -74.1712231)",41.1843841,-74.1712231,United States
119,290,beef cake,53.0,2,"(49.4252607, 26.9836747)",49.4252607,26.9836747,Україна
120,291,blonde gift,52.75,2,"(50.7777304, 6.0865822)",50.7777304,6.0865822,Deutschland
121,296,cupcake,57.5,3,"(36.404223, -79.95601)",36.404223,-79.95601,United States
122,297,fat free,52.92727272727273,2,"(5.402866, 100.30768)",5.402866,100.30768,Malaysia
123,306,line of credit,42.0,2,"(43.0962256, -77.5852489)",43.0962256,-77.5852489,United States
124,308,mr pink,42.6,2,"(51.1781424, -0.4303085)",51.1781424,-0.4303085,United Kingdom
125,312,outer space,43.0,2,"(52.61713175, -1.101328238691506)",52.61713175,-1.101328238691506,United Kingdom
126,313,pretty fly,53.142857142857146,2,"(-31.9663614, 116.080063)",-31.9663614,116.080063,Australia
127,314,shut the gate,45.75,2,"(-36.3636409, 148.8299463)",-36.3636409,148.8299463,Australia
128,322,bare essentials,55.05714285714286,2,"(43.5410478, -80.243789)",43.5410478,-80.243789,Canada
129,327,better than chocolate,48.526315789473685,2,"(60.3333112, 24.319572)",60.3333112,24.319572,Suomi / Finland
130,329,better than nothing,56.84848484848485,2,"(12.5398143, 107.432746)",12.5398143,107.432746,ព្រះរាជាណាចក្រ​កម្ពុជា
131,330,billy bunter,36.11111111111112,2,"(28.2164189, 83.9585594)",28.2164189,83.9585594,नेपाल
132,333,chase the lady,48.63157894736842,2,"(52.684347700000004, -1.979187164918754)",52.6843477,-1.979187164918754,United Kingdom
133,344,hang five,42.6,3,"(30.207557450000003, -85.86198596383963)",30.207557450000003,-85.86198596383963,United States
134,347,inertia,63.93333333333333,2,"(33.53685915, 73.12521508009695)",33.53685915,73.12521508009695,پاکستان
135,348,iona,50.45945945945946,2,"(47.85512575, 3.6450439257238765)",47.85512575,3.645043925723877,France
136,351,jaws,42.54081632653061,8,"(42.7038849, -123.8945514)",42.7038849,-123.8945514,United States
